VfL Wolfsburg
Lille
Club Brugge
Liverpool
Barcelona
Zenit St Petersburg
Atalanta
Benfica
Sheriff Tiraspol
Sevilla
FC Porto
Real Madrid
Atlético de Madrid
Chelsea
Internazionale
Manchester City
Villarreal
Borussia Dortmund
RB Leipzig
Malmö FF
Besiktas
Shakhtar Donetsk
Paris Saint-Germain
Sporting CP
FC Red Bull Salzburg
Dynamo Kyiv
Ajax
Milan
FC Bayern München
Juventus
Manchester United
Young Boys
